preco_medio_close,lag_1_mes_preco_medio_close,lag_2_mes_preco_medio_close,lag_3_mes_preco_medio_close,lag_4_mes_preco_medio_close,lag_5_mes_preco_medio_close,lag_6_mes_preco_medio_close,media_movel_6_meses_preco_medio_close,desvio_padrao_movel_6_meses_preco_medio_close,valor_minimo_6_meses_preco_medio_close,valor_maximo_6_meses_preco_medio_close
29.864014,31.982691,36.549212,32.095261,27.004712,24.373987,20.788237,30.311646,3.900275,24.373987,36.549212
29.041807,29.864014,31.982691,36.549212,32.095261,27.004712,24.373987,31.089616,2.999949,27.004712,36.549212
30.634756,29.041807,29.864014,31.982691,36.549212,32.095261,27.004712,31.694623,2.426328,29.041807,36.549212
28.021431,30.634756,29.041807,29.864014,31.982691,36.549212,32.095261,31.015652,2.765508,28.021431,36.549212
25.438857,28.021431,30.634756,29.041807,29.864014,31.982691,36.549212,29.163926,2.073453,25.438857,31.982691
28.46407,25.438857,28.021431,30.634756,29.041807,29.864014,31.982691,28.577489,1.647026,25.438857,30.634756
29.935567,28.46407,25.438857,28.021431,30.634756,29.041807,29.864014,28.589415,1.656529,25.438857,30.634756
28.134724,29.935567,28.46407,25.438857,28.021431,30.634756,29.041807,28.438234,1.649722,25.438857,30.634756
28.349059,28.134724,29.935567,28.46407,25.438857,28.021431,30.634756,28.057284,1.331791,25.438857,29.935567
31.338352,28.349059,28.134724,29.935567,28.46407,25.438857,28.021431,28.610104,1.806122,25.438857,31.338352
38.491646,31.338352,28.349059,28.134724,29.935567,28.46407,25.438857,30.785569,3.62318,28.134724,38.491646
44.42866,38.491646,31.338352,28.349059,28.134724,29.935567,28.46407,33.446334,6.014304,28.134724,44.42866
48.167548,44.42866,38.491646,31.338352,28.349059,28.134724,29.935567,36.484998,7.810452,28.134724,48.167548
58.535509,48.167548,44.42866,38.491646,31.338352,28.349059,28.134724,41.551795,10.2346,28.349059,58.535509
69.468685,58.535509,48.167548,44.42866,38.491646,31.338352,28.349059,48.405067,12.594435,31.338352,69.468685
78.037735,69.468685,58.535509,48.167548,44.42866,38.491646,31.338352,56.188297,13.994457,38.491646,78.037735
78.416926,78.037735,69.468685,58.535509,48.167548,44.42866,38.491646,62.842511,13.480468,44.42866,78.416926
80.264973,78.416926,78.037735,69.468685,58.535509,48.167548,44.42866,68.815229,11.837583,48.167548,80.264973
85.674838,80.264973,78.416926,78.037735,69.468685,58.535509,48.167548,75.066444,8.796057,58.535509,85.674838
113.430087,85.674838,80.264973,78.416926,78.037735,69.468685,58.535509,84.215541,13.907344,69.468685,113.430087
138.223035,113.430087,85.674838,80.264973,78.416926,78.037735,69.468685,95.674599,22.627288,78.037735,138.223035
124.129108,138.223035,113.430087,85.674838,80.264973,78.416926,78.037735,103.356495,23.153459,78.416926,138.223035
157.882382,124.129108,138.223035,113.430087,85.674838,80.264973,78.416926,116.600737,27.432117,80.264973,157.882382
166.430487,157.882382,124.129108,138.223035,113.430087,85.674838,80.264973,130.961656,27.204248,85.674838,166.430487
180.933538,166.430487,157.882382,124.129108,138.223035,113.430087,85.674838,146.838106,23.714797,113.430087,180.933538
195.459281,180.933538,166.430487,157.882382,124.129108,138.223035,113.430087,160.509639,24.155082,124.129108,195.459281
182.624908,195.459281,180.933538,166.430487,157.882382,124.129108,138.223035,167.909951,22.965962,124.129108,195.459281
199.538943,182.624908,195.459281,180.933538,166.430487,157.882382,124.129108,180.478256,14.72226,157.882382,199.538943
167.002248,199.538943,182.624908,195.459281,180.933538,166.430487,157.882382,181.998234,12.633533,166.430487,199.538943
176.15162,167.002248,199.538943,182.624908,195.459281,180.933538,166.430487,183.618423,11.058292,167.002248,199.538943
146.302318,176.15162,167.002248,199.538943,182.624908,195.459281,180.933538,177.846553,17.884403,146.302318,199.538943
154.368901,146.302318,176.15162,167.002248,199.538943,182.624908,195.459281,170.998156,17.695103,146.302318,199.538943
144.974996,154.368901,146.302318,176.15162,167.002248,199.538943,182.624908,164.723171,19.08084,144.974996,199.538943
138.228713,144.974996,154.368901,146.302318,176.15162,167.002248,199.538943,154.504799,13.21488,138.228713,176.15162
166.8046,138.228713,144.974996,154.368901,146.302318,176.15162,167.002248,154.471858,13.183896,138.228713,176.15162
144.419979,166.8046,138.228713,144.974996,154.368901,146.302318,176.15162,149.183251,9.18425,138.228713,166.8046
141.586618,144.419979,166.8046,138.228713,144.974996,154.368901,146.302318,148.397301,9.589973,138.228713,166.8046
134.229065,141.586618,144.419979,166.8046,138.228713,144.974996,154.368901,145.040662,10.402582,134.229065,166.8046
116.706217,134.229065,141.586618,144.419979,166.8046,138.228713,144.974996,140.329199,14.826392,116.706217,166.8046
133.945462,116.706217,134.229065,141.586618,144.419979,166.8046,138.228713,139.615323,15.012293,116.706217,166.8046
138.143506,133.945462,116.706217,134.229065,141.586618,144.419979,166.8046,134.838474,8.927612,116.706217,144.419979
155.657651,138.143506,133.945462,116.706217,134.229065,141.586618,144.419979,136.71142,11.538333,116.706217,155.657651
109.151134,155.657651,138.143506,133.945462,116.706217,134.229065,141.586618,131.305506,15.051341,109.151134,155.657651
67.889745,109.151134,155.657651,138.143506,133.945462,116.706217,134.229065,120.248952,27.805229,67.889745,155.657651
84.567209,67.889745,109.151134,155.657651,138.143506,133.945462,116.706217,114.892451,30.895705,67.889745,155.657651
88.948755,84.567209,67.889745,109.151134,155.657651,138.143506,133.945462,107.393,30.821733,67.889745,155.657651
